clave,sitio,tratamiento,replica,L,a,b
4011,A,1,1,34.53843,3.814661,8.066625
4012,A,1,2,41.88447,3.897672,9.170675
4013,A,1,3,36.97974,4.345838,6.256238
4014,A,2,1,39.09457,3.611016,9.110337
4015,A,2,2,38.1524,3.508456,9.200719
4016,A,2,3,28.62741,2.997313,3.854818
4017,A,3,1,37.35233,4.870002,5.806745
4018,A,3,2,41.66958,3.414211,11.08915
4019,A,3,3,40.8658,3.02707,8.373252
4020,A,4,1,36.89068,3.932785,7.844855
4021,A,4,2,38.18608,3.330084,8.089772
4022,A,4,3,37.58423,3.308244,10.46538
4023,A,5,1,41.13991,2.635111,6.637155
4024,A,5,2,41.03886,2.709711,6.242775
4025,A,5,3,41.85117,2.884771,6.726202
4026,A,6,1,44.4962,3.012251,8.63198
4027,A,6,2,42.38499,2.730649,7.495035
4028,A,6,3,43.28662,2.700107,6.94734
4059,B,1,1,39.46276,7.11845,12.72617
4060,B,1,2,51.53589,6.329713,16.78921
4061,B,1,3,41.04345,7.87209,13.32334
4029,B,2,1,45.87043,6.974032,14.98116
4030,B,2,2,41.78795,6.268377,15.16471
4031,B,2,3,37.80579,6.664329,13.73976
4032,B,3,1,43.02481,7.146805,18.13638
4062,B,3,2,38.84909,7.252831,13.20008
4033,B,3,3,44.56401,7.56357,17.57175
4034,B,4,1,35.47606,6.783255,8.041692
4035,B,4,2,47.49688,7.346721,17.82592
4036,B,4,3,46.54957,6.54577,17.33313
4063,B,5,1,38.48718,7.807718,13.4651
4037,B,5,2,42.54221,7.491521,16.73512
4064,B,5,3,51.58144,3.28648,10.88072
4038,B,6,1,46.95002,7.195816,19.40381
4039,B,6,2,48.35965,7.025853,19.90486
4040,B,6,3,43.93023,8.023448,17.69874
4041,C,1,1,33.48618,5.088589,6.536049
4042,C,1,2,33.83231,3.68335,7.283919
4043,C,1,3,31.59467,4.883554,2.979895
4045,C,2,1,26.6901,4.361817,3.01892
4044,C,2,2,30.96227,4.441954,7.102946
4046,C,2,3,32.35106,4.14129,5.111132
4047,C,3,1,38.68967,4.26182,8.346281
4048,C,3,2,33.76197,3.792245,8.207202
4049,C,3,3,32.11864,5.277428,2.375854
4050,C,4,1,32.89962,4.292439,6.575994
4051,C,4,2,28.27302,3.972099,3.014021
4052,C,4,3,30.69443,5.053136,2.522904
4053,C,5,1,38.40144,3.108473,3.197611
4054,C,5,2,35.21339,3.877849,3.465789
4055,C,5,3,31.53126,4.565049,3.789381
4056,C,6,1,37.00888,2.809717,2.216657
4057,C,6,2,38.14581,3.621821,4.731499
4058,C,6,3,31.7344,3.374602,2.054257
